data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2022,20585,153608528,44086222,f,2022-05-24 12:07:50.596,2022-04-01,f,11,6,,WARNINGS,,F,141389003
2022,20585,152269741,44086222,f,2022-04-20 12:14:16.6,2022-04-02,f,16,6,,WARNINGS,,F,138086626
2022,20585,154759462,44086222,f,2022-06-21 17:20:16.507,2022-04-05,f,11,6,,WARNINGS,,F,144260129
2022,20585,154759472,44086222,f,2022-06-21 17:20:16.836,2022-04-06,f,15,6,,WARNINGS,,F,144260143
2022,20585,154759413,44086222,f,2022-06-21 17:20:15.382,2022-04-07,f,15,6,,WARNINGS,,F,144260060
2022,20585,153608550,44086222,f,2022-05-24 12:07:51.275,2022-04-07,f,16,6,,WARNINGS,,F,141389081
2022,20585,154759419,44086222,f,2022-06-21 17:20:15.465,2022-04-12,f,11,6,,WARNINGS,,F,144260065
2022,20500,153608438,44153406,f,2022-05-24 12:07:43.665,2022-05-10,f,20,6,,WARNINGS,,F,141388486
2022,20500,153608440,44153406,f,2022-05-24 12:07:43.946,2022-05-11,f,6,6,,WARNINGS,,F,141388501
2022,20500,153608431,44153406,f,2022-05-24 12:07:43.38,2022-05-11,f,21,6,,WARNINGS,,F,141388473
2022,20500,153608436,44153406,f,2022-05-24 12:07:43.661,2022-05-12,f,13,6,,WARNINGS,,F,141388485
2022,20500,163316668,44153406,f,2022-12-20 21:13:39.817,2022-05-12,f,17,6,,WARNINGS,,F,166336312
2022,20585,153608566,44086222,f,2022-05-24 12:07:51.715,2022-04-12,f,17,6,,WARNINGS,,F,141389120
2022,20585,152269769,44086222,f,2022-04-20 12:14:17.236,2022-04-13,f,13,6,,WARNINGS,,F,138086685
2022,20585,153608574,44086222,f,2022-05-24 12:07:51.953,2022-04-15,f,7,6,,WARNINGS,,F,141389149
2022,20585,153608585,44086222,f,2022-05-24 12:07:52.354,2022-04-16,f,12,6,,WARNINGS,,F,141389174
2022,20500,153608445,44153406,f,2022-05-24 12:07:44.275,2022-05-13,f,15,6,,WARNINGS,,F,141388512
2022,20585,153608545,44086222,f,2022-05-24 12:07:51.104,2022-04-16,f,15,6,,WARNINGS,,F,141389064
2022,20500,156439618,44153406,f,2022-07-21 13:26:01.524,2022-05-15,f,11,6,,WARNINGS,,F,148893236
2022,20500,157824736,44153406,f,2022-08-22 17:01:34.539,2022-05-17,f,0,6,,WARNINGS,,F,152395891
2022,20500,156439623,44153406,f,2022-07-21 13:26:01.821,2022-05-18,f,4,6,,WARNINGS,,F,148893249
2022,20585,153608551,44086222,f,2022-05-24 12:07:51.348,2022-04-16,f,20,6,,WARNINGS,,F,141389083
2022,20585,153608555,44086222,f,2022-05-24 12:07:51.522,2022-04-17,f,15,6,,WARNINGS,,F,141389095
2022,20585,165127524,44086222,f,2023-01-26 15:25:32.823,2022-04-18,f,11,6,,WARNINGS,,F,171101876
2022,20585,153608564,44086222,f,2022-05-24 12:07:51.704,2022-04-18,f,13,6,,WARNINGS,,F,141389121
2022,20585,153608570,44086222,f,2022-05-24 12:07:51.901,2022-04-20,f,12,6,,WARNINGS,,F,141389140
2022,20585,153608523,44086222,f,2022-05-24 12:07:50.613,2022-04-22,f,1,6,,WARNINGS,,F,141389005
2022,20585,153608525,44086222,f,2022-05-24 12:07:50.694,2022-04-22,f,12,6,,WARNINGS,,F,141389013
2022,20585,153608529,44086222,f,2022-05-24 12:07:50.755,2022-04-23,f,23,6,,WARNINGS,,F,141389023
2022,20500,153608345,44153406,f,2022-05-24 12:07:32.55,2022-05-21,f,10,6,,WARNINGS,,F,141388156
2022,20500,154759323,44153406,f,2022-06-21 17:20:12.856,2022-05-25,f,14,6,,WARNINGS,,F,144259908
2022,20500,168740340,44153406,f,2023-03-27 17:49:24.245,2022-05-28,f,20,6,,WARNINGS,,F,180968587
2022,20585,153608538,44086222,f,2022-05-24 12:07:51.06,2022-04-24,f,17,6,,WARNINGS,,F,141389061
2022,20585,153608543,44086222,f,2022-05-24 12:07:51.159,2022-04-25,f,16,6,,WARNINGS,,F,141389072
2022,20585,153608532,44086222,f,2022-05-24 12:07:50.883,2022-04-26,f,9,6,,WARNINGS,,F,141389034
2022,20500,154759106,44153406,f,2022-06-21 17:20:00.216,2022-05-29,f,16,6,,WARNINGS,,F,144259525
2022,20500,156439611,44164524,f,2022-07-21 13:26:01.08,2022-06-05,f,7,6,,WARNINGS,,F,148893214
2022,20585,153608535,44086222,f,2022-05-24 12:07:50.981,2022-04-26,f,14,6,,WARNINGS,,F,141389047
2022,20585,156441012,44086222,f,2022-07-21 13:26:27.25,2022-04-27,f,16,6,,WARNINGS,,F,148895671
2022,20585,153608537,44086222,f,2022-05-24 12:07:51.059,2022-04-30,f,9,6,,WARNINGS,,F,141389059
2022,20585,153608542,44153425,f,2022-05-24 12:07:51.144,2022-05-01,f,0,6,,WARNINGS,,F,141389071
2022,20585,153608549,44153425,f,2022-05-24 12:07:51.256,2022-05-02,f,10,6,,WARNINGS,,F,141389080
2022,20585,153608553,44153425,f,2022-05-24 12:07:51.484,2022-05-03,f,7,6,,WARNINGS,,F,141389089
2022,20585,153608556,44153425,f,2022-05-24 12:07:51.556,2022-05-03,f,10,6,,WARNINGS,,F,141389100
2022,20585,153608547,44153425,f,2022-05-24 12:07:51.173,2022-05-03,f,12,6,,WARNINGS,,F,141389074
2022,20500,154759111,44164524,f,2022-06-21 17:20:00.658,2022-06-05,f,14,6,,WARNINGS,,F,144259536
2022,20500,154759096,44164524,f,2022-06-21 17:19:58.926,2022-06-06,f,13,6,,WARNINGS,,F,144259509
2022,20500,154759099,44164524,f,2022-06-21 17:19:59.206,2022-06-07,f,10,6,,WARNINGS,,F,144259513
2022,20500,159229571,44164524,f,2022-09-27 12:50:00.562,2022-06-10,f,12,6,,WARNINGS,,F,155976634
2022,20500,154759101,44164524,f,2022-06-21 17:19:59.48,2022-06-11,f,15,6,,WARNINGS,,F,144259516
2022,20500,159229576,44164524,f,2022-09-27 12:50:00.801,2022-06-13,f,7,6,,WARNINGS,,F,155976641
2022,20585,153608552,44153425,f,2022-05-24 12:07:51.421,2022-05-03,f,13,6,,WARNINGS,,F,141389085
2022,20500,156439620,44164524,f,2022-07-21 13:26:01.492,2022-06-14,f,7,6,,WARNINGS,,F,148893234
2022,20585,154759427,44153425,f,2022-06-21 17:20:15.6,2022-05-03,f,16,6,,WARNINGS,,F,144260077
2022,20585,156441022,44153425,f,2022-07-21 13:26:27.328,2022-05-04,f,18,6,,WARNINGS,,F,148895689
2022,20585,153608558,44153425,f,2022-05-24 12:07:51.598,2022-05-05,f,4,6,,WARNINGS,,F,141389103
2022,20500,156439622,44164524,f,2022-07-21 13:26:01.875,2022-06-15,f,12,6,,WARNINGS,,F,148893255
2022,20500,156439627,44164524,f,2022-07-21 13:26:02.147,2022-06-15,f,16,6,,WARNINGS,,F,148893267
2022,20500,165125830,44164524,f,2023-01-26 15:24:57.839,2022-06-15,f,16,6,,WARNINGS,,F,171098939
2022,20585,163317258,44153425,f,2022-12-20 21:13:56.4,2022-05-06,f,10,6,,WARNINGS,,F,166337375
2022,20585,156440965,44153425,f,2022-07-21 13:26:26.861,2022-05-06,f,16,6,,WARNINGS,,F,148895599
2022,20500,165125833,44164524,f,2023-01-26 15:24:58.1,2022-06-17,f,10,6,,WARNINGS,,F,171098990
2022,20500,154759105,44164524,f,2022-06-21 17:20:00.03,2022-06-19,f,13,6,,WARNINGS,,F,144259523
2022,20500,156439634,44164524,f,2022-07-21 13:26:02.69,2022-06-19,f,17,6,,WARNINGS,,F,148893286
2022,20500,156439640,44164524,f,2022-07-21 13:26:02.933,2022-06-20,f,22,6,,WARNINGS,,F,148893297
2022,20500,156439645,44164524,f,2022-07-21 13:26:03.231,2022-06-23,f,13,6,,WARNINGS,,F,148893307
2022,20500,159229585,44164524,f,2022-09-27 12:50:01.16,2022-06-24,f,8,6,,WARNINGS,,F,155976651
2022,20500,156439654,44164524,f,2022-07-21 13:26:03.75,2022-06-24,f,11,6,,WARNINGS,,F,148893328
2022,20585,159230524,44153425,f,2022-09-27 12:50:24.768,2022-05-07,f,5,6,,WARNINGS,,F,155978160
2022,20585,154759446,44153425,f,2022-06-21 17:20:15.96,2022-05-08,f,11,6,,WARNINGS,,F,144260103
2022,20585,153608572,44153425,f,2022-05-24 12:07:51.981,2022-05-08,f,16,6,,WARNINGS,,F,141389150
2022,20585,154759450,44153425,f,2022-06-21 17:20:16.101,2022-05-10,f,10,6,,WARNINGS,,F,144260108
2022,20585,153608575,44153425,f,2022-05-24 12:07:52.119,2022-05-10,f,15,6,,WARNINGS,,F,141389157
2022,20585,153608579,44153425,f,2022-05-24 12:07:52.222,2022-05-10,f,22,6,,WARNINGS,,F,141389165
2022,20500,156439659,44164524,f,2022-07-21 13:26:04.048,2022-06-23,f,16,6,,WARNINGS,,F,148893342
2022,20585,154760105,44153425,f,2022-06-21 17:20:28.963,2022-05-12,f,0,6,,WARNINGS,,F,144261350
2022,20585,154760130,44153425,f,2022-06-21 17:20:29.282,2022-05-12,f,16,6,,WARNINGS,,F,144261405
2022,20585,154759477,44153425,f,2022-06-21 17:20:16.974,2022-05-13,f,15,6,,WARNINGS,,F,144260156
2022,20585,154759447,44153425,f,2022-06-21 17:20:15.979,2022-05-13,f,17,6,,WARNINGS,,F,144260104
2022,20585,153608583,44153425,f,2022-05-24 12:07:52.399,2022-05-14,f,13,6,,WARNINGS,,F,141389181
2022,20500,159229593,44179339,f,2022-09-27 12:50:01.867,2022-07-04,f,12,6,,WARNINGS,,F,155976676
2022,20500,159229598,44179339,f,2022-09-27 12:50:02.204,2022-07-04,f,19,6,,WARNINGS,,F,155976685
2022,20585,153608573,44153425,f,2022-05-24 12:07:52.088,2022-05-14,f,18,6,,WARNINGS,,F,141389155
2022,20500,156439733,44179339,f,2022-07-21 13:26:07.807,2022-07-05,f,11,6,,WARNINGS,,F,148893535
2022,20585,153608577,44153425,f,2022-05-24 12:07:52.232,2022-05-16,f,13,6,,WARNINGS,,F,141389166
2022,20585,154759455,44153425,f,2022-06-21 17:20:16.243,2022-05-16,f,13,6,,WARNINGS,,F,144260117
2022,20500,156439741,44179339,f,2022-07-21 13:26:08.084,2022-07-03,f,15,6,,WARNINGS,,F,148893549
2022,20500,156439749,44164524,f,2022-07-21 13:26:08.364,2022-06-21,f,13,6,,WARNINGS,,F,148893562
2022,20500,156439755,44179339,f,2022-07-21 13:26:08.567,2022-07-07,f,19,6,,WARNINGS,,F,148893575
2022,20500,156439556,44179339,f,2022-07-21 13:25:55.15,2022-07-08,f,0,6,,WARNINGS,,F,148893091
